Date,Store,Product_Category,Region,Sales,Quantity,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,IsWeekend,IsMonthStart,IsMonthEnd,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,DayOfYear,DayOfYear_sin,DayOfYear_cos,Sales_Lag_7,Sales_Lag_14,Sales_Lag_21,Sales_Lag_30,Sales_RollingMean_7,Sales_RollingStd_7,Sales_RollingMean_14,Sales_RollingStd_14,Sales_RollingMean_30,Sales_RollingStd_30,Store_Encoded,Category_Encoded,Region_Encoded
2023-01-31,Store_A,Clothing,West,943.29,5,2023,1,31,1,5,1,0,0,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,31,0.5086709438521044,0.8609610158889943,1023.11,949.43,1031.9,806.69,834.49,157.96915036381836,880.262142857143,157.21247641713686,868.81,148.34208245668592,0,0,3
2023-02-01,Store_A,Clothing,North,854.32,5,2023,2,1,2,5,1,0,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,32,0.5234156073655503,0.8520775211013093,979.86,1118.13,752.79,636.97,823.0871428571428,144.38102041869232,879.8235714285714,157.0131158464229,873.3633333333333,148.46597428212374,0,0,1
2023-02-02,Store_A,Clothing,South,1070.17,6,2023,2,2,3,5,1,0,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,33,0.5380051715382996,0.8429415373547828,720.92,997.44,858.54,918.7,805.1528571428571,128.59598668106318,860.9799999999999,141.25260972401952,880.6083333333333,141.68059753479335,0,0,2
2023-02-03,Store_A,Clothing,West,918.71,5,2023,2,3,4,5,1,0,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,34,0.5524353131676196,0.8335557718385699,803.35,826.61,822.2,1116.86,855.0457142857142,155.42168347832967,866.175,147.84118010424362,885.6573333333333,145.7260346638533,0,0,3
2023-02-04,Store_A,Clothing,East,832.81,5,2023,2,4,5,5,1,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,35,0.5667017562911176,0.8239230057575542,823.84,694.39,986.14,941.33,871.5257142857143,155.14238609066436,872.7535714285715,147.99424092782198,879.0523333333333,139.23129641450723,0,0,0
2023-02-05,Store_A,Clothing,East,631.48,3,2023,2,5,6,5,1,1,0,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,36,0.5808002734538009,0.8140460935082178,567.58,815.49,606.45,790.69,872.8071428571429,154.7193397428912,882.6407142857142,139.5440891157446,875.4350000000001,138.96694667165062,0,0,0
2023-02-06,Store_A,Clothing,North,950.5,5,2023,2,6,0,6,1,0,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,37,0.5947266869607634,0.8039279618328213,922.77,1080.75,1058.48,767.74,881.9357142857142,134.2387859819388,869.4971428571428,154.24683611908307,870.128,145.2144615292891,0,0,1
2023-02-07,Store_A,Clothing,South,849.29,5,2023,2,7,1,6,1,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,38,0.6084768701151261,0.7935716089521474,943.29,1023.11,949.43,880.13,885.897142857143,136.04171048055886,860.1935714285713,144.12041624478974,876.22,144.60325474469317,0,0,2
2023-02-08,Store_A,Clothing,North,1056.41,6,2023,2,8,2,6,1,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,39,0.6220467484408675,0.7829801036770629,854.32,979.86,1118.13,765.02,872.4685714285715,134.0571638553956,847.7778571428572,136.2797046337237,875.1919999999999,144.68409946238523,0,0,1
2023-02-09,Store_A,Clothing,North,567.97,3,2023,2,9,3,6,1,0,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,40,0.6354323008901774,0.7721565844991642,1070.17,720.92,997.44,1031.9,901.3385714285715,150.2767886743849,853.2457142857144,143.3396093046316,884.905,146.79835963449764,0,0,1
2023-02-10,Store_A,Clothing,South,706.36,4,2023,2,10,4,6,1,0,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,41,0.6486295610349814,0.7611042586607747,918.71,803.35,826.61,752.79,829.5957142857143,174.21249934654924,842.3207142857143,159.156992280447,869.4406666666667,154.9870839320075,0,0,2
